country,pdi,idv,mas,uai,ltowvs,ivr
Africa East,64.0,27.0,41.0,52.0,32.0,40.0
Africa West,77.0,20.0,46.0,54.0,9.0,78.0
Albania,70.20120460990704,40.17084410472607,49.258204815088554,69.0072150930955,61.0,15.0
Algeria,69.74263523313053,35.14743189213175,49.255074374804074,68.88020731171682,26.0,32.0
Andorra,54.14601801833649,46.81455855131613,49.27398665446069,66.97920455310772,36.89747436886745,65.0
Arab countries,80.0,38.0,53.0,68.0,23.0,34.0
Argentina,49.0,46.0,56.0,86.0,20.0,62.0
Armenia,60.256819480740646,46.55413879759034,49.26954067802423,67.78104297200757,61.0,39.198645053084334
Australia,38.0,90.0,61.0,51.0,21.0,71.0
Austria,11.0,55.0,79.0,70.0,60.0,63.0
Azerbaijan,67.32407807972956,42.01766118100138,49.26148383840258,68.65248467283149,61.0,22.0
Bangladesh,80.0,20.0,55.0,60.0,47.0,20.0
Belarus,66.47049723230855,45.60429518920285,49.26454411944201,68.58751201759857,81.0,15.0
Belgium,65.0,75.0,54.0,94.0,82.0,57.0
Belgium French,67.0,72.0,60.0,93.0,53.703295726664265,40.423854921715325
Belgium Netherl,61.0,78.0,43.0,97.0,54.62738513298045,40.2261063471559
Bosnia,56.60286209353816,50.266996408738294,49.274642027205736,67.3487512537424,70.0,44.0
Brazil,69.0,38.0,49.0,76.0,44.0,59.0
Bulgaria,70.0,30.0,40.0,85.0,69.0,16.0
Burkina Faso,75.31035292460555,31.72547029380499,49.24883329339369,69.56868299846998,27.0,18.0
Canada,39.0,80.0,52.0,48.0,36.0,68.0
Canada French,54.0,73.0,45.0,60.0,52.168799675626204,45.42839039637008
Chile,63.0,23.0,28.0,86.0,31.0,68.0
China,80.0,20.0,66.0,30.0,87.0,24.0
Colombia,67.0,13.0,64.0,80.0,13.0,83.0
Costa Rica,35.0,15.0,21.0,86.0,34.52454308580361,56.2447369297574
Croatia,73.0,33.0,40.0,80.0,58.0,33.0
Cyprus,52.494853655299146,47.545365840359,49.275642294943786,66.77127074934883,34.73164808902092,70.0
Czech Rep,57.0,58.0,57.0,74.0,70.0,29.0
Denmark,18.0,74.0,16.0,23.0,35.0,70.0
Dominican Rep,63.125197362297456,37.41997092694423,49.261259328818426,68.03814727567435,13.0,54.0
Ecuador,78.0,8.0,63.0,67.0,38.14644866775927,42.32960053245595
Egypt,84.79531336255901,22.598385056777616,49.23593594241216,70.69784691449493,7.0,4.0
Ethiopia,60.42044259787842,44.03749085295324,49.26769522062493,67.76935300739152,45.12761423228425,46.0
El Salvador,66.0,19.0,40.0,94.0,20.0,89.0
Estonia,40.0,60.0,30.0,60.0,82.0,16.0
Finland,33.0,63.0,26.0,59.0,38.0,57.0
France,68.0,71.0,43.0,86.0,63.0,48.0
Georgia,67.50421080657142,38.40750254281782,49.25887795741615,68.62838546641865,38.0,32.0
Germany,35.0,67.0,66.0,65.0,83.0,40.0
Germany East,59.220759899895164,49.80206673356429,49.272493429927074,67.68762776677794,78.0,34.0
Ghana,57.40569031890326,39.72387613506617,49.26683841609545,67.31484972182622,4.0,72.0
Great Britain,35.0,89.0,66.0,35.0,51.0,69.0
Greece,60.0,35.0,57.0,112.0,45.0,50.0
Guatemala,95.0,6.0,37.0,101.0,40.318929200604344,29.473601223047474
