country,pdi,idv,mas,uai,ltowvs,ivr
Africa East,64.0,27.0,41.0,52.0,32.0,40.0
Africa West,77.0,20.0,46.0,54.0,9.0,78.0
Albania,70.4,35.0,40.6,65.4,61.0,15.0
Algeria,73.8,36.8,50.6,72.2,26.0,32.0
Andorra,33.4,66.4,55.6,62.4,46.6,65.0
Arab countries,80.0,38.0,53.0,68.0,23.0,34.0
Argentina,49.0,46.0,56.0,86.0,20.0,62.0
Armenia,55.0,48.2,59.0,61.6,61.0,24.4
Australia,38.0,90.0,61.0,51.0,21.0,71.0
Austria,11.0,55.0,79.0,70.0,60.0,63.0
Azerbaijan,64.8,48.2,59.4,72.2,61.0,22.0
Bangladesh,80.0,20.0,55.0,60.0,47.0,20.0
Belarus,65.0,41.8,38.2,67.0,81.0,15.0
Belgium,65.0,75.0,54.0,94.0,82.0,57.0
Belgium French,67.0,72.0,60.0,93.0,60.0,45.8
Belgium Netherl,61.0,78.0,43.0,97.0,55.6,48.8
Bosnia,59.0,46.4,50.6,55.4,70.0,44.0
Brazil,69.0,38.0,49.0,76.0,44.0,59.0
Bulgaria,70.0,30.0,40.0,85.0,69.0,16.0
Burkina Faso,58.8,45.0,49.6,82.8,27.0,18.0
Canada,39.0,80.0,52.0,48.0,36.0,68.0
Canada French,54.0,73.0,45.0,60.0,67.0,41.8
Chile,63.0,23.0,28.0,86.0,31.0,68.0
China,80.0,20.0,66.0,30.0,87.0,24.0
Colombia,67.0,13.0,64.0,80.0,13.0,83.0
Costa Rica,35.0,15.0,21.0,86.0,55.4,45.0
Croatia,73.0,33.0,40.0,80.0,58.0,33.0
Cyprus,33.6,82.6,41.8,42.0,28.4,70.0
Czech Rep,57.0,58.0,57.0,74.0,70.0,29.0
Denmark,18.0,74.0,16.0,23.0,35.0,70.0
Dominican Rep,52.0,41.8,49.4,73.4,13.0,54.0
Ecuador,78.0,8.0,63.0,67.0,29.4,63.8
Egypt,67.8,42.4,48.8,78.4,7.0,4.0
Ethiopia,65.4,35.6,41.8,66.2,45.2,46.0
El Salvador,66.0,19.0,40.0,94.0,20.0,89.0
Estonia,40.0,60.0,30.0,60.0,82.0,16.0
Finland,33.0,63.0,26.0,59.0,38.0,57.0
France,68.0,71.0,43.0,86.0,63.0,48.0
Georgia,57.0,43.2,47.8,74.0,38.0,32.0
Germany,35.0,67.0,66.0,65.0,83.0,40.0
Germany East,64.8,48.6,75.2,58.0,78.0,34.0
Ghana,55.6,37.0,57.0,65.2,4.0,72.0
Great Britain,35.0,89.0,66.0,35.0,51.0,69.0
Greece,60.0,35.0,57.0,112.0,45.0,50.0
Guatemala,95.0,6.0,37.0,101.0,46.0,40.6
Hong Kong,68.0,25.0,57.0,29.0,61.0,17.0
Hungary,46.0,80.0,88.0,82.0,58.0,31.0
Iceland,37.4,69.6,47.0,48.2,28.0,67.0
India,77.0,48.0,56.0,40.0,51.0,26.0
Indonesia,78.0,14.0,46.0,48.0,62.0,38.0
Iran,58.0,41.0,43.0,59.0,14.0,40.0
Iraq,58.8,45.0,49.6,82.8,25.0,17.0
Ireland,28.0,70.0,68.0,35.0,24.0,65.0
Israel,13.0,54.0,47.0,81.0,38.0,45.4
Italy,50.0,76.0,70.0,75.0,61.0,30.0
