country,pdi,idv,mas,uai,ltowvs,ivr
,64.0,27.0,41.0,52.0,32.0,40.0
,77.0,20.0,46.0,54.0,9.0,78.0
,75.77,33.62,40.22,79.08,61.0,15.0
,75.17,31.31,49.63,61.04,26.0,32.0
,68.64,31.99,51.22,79.12,29.71,65.0
,80.0,38.0,53.0,68.0,23.0,34.0
,49.0,46.0,56.0,86.0,20.0,62.0
,79.8,29.93,52.92,60.16,61.0,22.46
,38.0,90.0,61.0,51.0,21.0,71.0
,11.0,55.0,79.0,70.0,60.0,63.0
,79.96,29.48,52.18,60.11,61.0,22.0
,80.0,20.0,55.0,60.0,47.0,20.0
,76.07,30.23,42.46,76.37,81.0,15.0
,65.0,75.0,54.0,94.0,82.0,57.0
,67.0,72.0,60.0,93.0,58.6,41.82
,61.0,78.0,43.0,97.0,64.33,45.24
,57.82,43.27,44.31,84.71,70.0,44.0
,69.0,38.0,49.0,76.0,44.0,59.0
,70.0,30.0,40.0,85.0,69.0,16.0
,71.51,30.16,47.37,69.96,27.0,18.0
,39.0,80.0,52.0,48.0,36.0,68.0
,54.0,73.0,45.0,60.0,56.61,37.11
,63.0,23.0,28.0,86.0,31.0,68.0
,80.0,20.0,66.0,30.0,87.0,24.0
,67.0,13.0,64.0,80.0,13.0,83.0
,35.0,15.0,21.0,86.0,57.2,44.96
,73.0,33.0,40.0,80.0,58.0,33.0
,65.35,24.59,34.22,87.69,27.73,70.0
,57.0,58.0,57.0,74.0,70.0,29.0
,18.0,74.0,16.0,23.0,35.0,70.0
,69.44,30.65,49.79,74.85,13.0,54.0
,78.0,8.0,63.0,67.0,44.64,44.96
,68.23,31.39,43.63,73.96,7.0,4.0
,68.58,33.33,48.44,73.66,38.57,46.0
,66.0,19.0,40.0,94.0,20.0,89.0
,40.0,60.0,30.0,60.0,82.0,16.0
,33.0,63.0,26.0,59.0,38.0,57.0
,68.0,71.0,43.0,86.0,63.0,48.0
,75.27,29.21,48.75,60.12,38.0,32.0
,35.0,67.0,66.0,65.0,83.0,40.0
,81.19,31.45,56.93,61.68,78.0,34.0
,71.92,23.73,49.78,65.97,4.0,72.0
,35.0,89.0,66.0,35.0,51.0,69.0
,60.0,35.0,57.0,112.0,45.0,50.0
,95.0,6.0,37.0,101.0,54.23,36.98
,68.0,25.0,57.0,29.0,61.0,17.0
,46.0,80.0,88.0,82.0,58.0,31.0
,70.68,32.46,51.33,76.59,28.0,67.0
,77.0,48.0,56.0,40.0,51.0,26.0
,78.0,14.0,46.0,48.0,62.0,38.0
,58.0,41.0,43.0,59.0,14.0,40.0
,71.41,30.6,47.15,71.31,25.0,17.0
,28.0,70.0,68.0,35.0,24.0,65.0
,13.0,54.0,47.0,81.0,38.0,60.02
,50.0,76.0,70.0,75.0,61.0,30.0
,45.0,39.0,68.0,13.0,57.57,34.35
,54.0,46.0,95.0,92.0,88.0,42.0
,69.56,31.4,50.56,70.65,16.0,43.0
,60.0,18.0,39.0,85.0,100.0,29.0
,63.28,42.93,45.65,73.72,66.0,39.0
,44.0,70.0,9.0,63.0,69.0,13.0
,42.0,60.0,19.0,65.0,82.0,16.0
,40.0,60.0,50.0,70.0,64.0,56.0
,79.24,23.07,50.04,45.99,62.0,35.0
,104.0,26.0,50.0,36.0,41.0,57.0
,70.8,30.36,48.82,71.13,20.0,43.0
,56.0,59.0,47.0,96.0,47.0,66.0
,81.0,30.0,69.0,82.0,24.0,97.0
,80.82,28.96,52.96,58.0,71.0,19.0
,80.33,28.39,56.04,45.92,75.0,20.0
,70.0,46.0,53.0,68.0,14.0,25.0
,38.0,80.0,14.0,53.0,67.0,68.0
,22.0,79.0,58.0,49.0,33.0,75.0
,68.25,25.35,55.39,73.24,13.0,84.0
,31.0,69.0,8.0,50.0,35.0,55.0
,55.0,14.0,50.0,70.0,50.0,0.0
,95.0,11.0,44.0,86.0,53.99,36.45
,64.0,16.0,42.0,87.0,25.0,46.0
,94.0,32.0,64.0,44.0,27.0,42.0
,68.0,60.0,64.0,93.0,38.0,29.0
,63.0,27.0,31.0,104.0,28.0,33.0
,70.04,25.27,53.29,68.21,0.0,90.0
,90.0,30.0,42.0,90.0,52.0,20.0
,93.0,39.0,36.0,95.0,81.0,20.0
,73.45,28.71,46.71,61.79,18.0,37.0
,65.24,32.22,43.38,84.17,36.0,52.0
,86.0,25.0,43.0,92.0,52.0,28.0
,74.0,20.0,48.0,8.0,72.0,46.0
,104.0,52.0,110.0,51.0,77.0,28.0
,71.0,27.0,19.0,88.0,49.0,48.0
,68.33,35.36,50.69,80.66,34.0,63.0
,49.0,65.0,63.0,49.0,42.3,52.42
